Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode,,
60707,0,0,1.95,9.98,0.17,0,0,,
60854,0,0,3.42,10.88,-0.3,0,0,,
61005,0,0,-0.26,7.98,2.45,0,0,,
61131,0,0,-2.45,10,1.78,0,0,,
61268,0,0,-1.22,11.8,0.55,0,0,,
61419,0,0,-1.13,9.82,-1.47,0,0,,
61600,0,0,-0.99,10.8,-1.97,0,0,,
61726,0,0,-1.99,10.19,-2.52,0,0,,
61872,0,0,-1.07,10.32,-1.95,0,0,,
62022,0,0,-0.99,10.09,-2.87,0,0,,
62149,0,0,-0.3,9.88,-2.41,0,0,,
62286,0,0,0.13,10.23,-2.45,0,0,,
62437,0,0,-0.72,10.34,-1.97,0,0,,
62618,0,0,0.17,10.05,-1.76,0,0,,
62744,0,0,0.19,9.92,-2.03,0,0,,
62890,0,0,0.24,10.11,-2.12,0,0,,
63041,0,0,0.67,9.77,-2.83,0,0,,
63167,0,0,1.49,9.69,-2.35,0,0,,
63304,0,0,1.11,9.81,-3.02,0,0,,
63455,0,0,-0.99,9.79,-2.72,0,0,,
63635,0,0,-0.63,9.96,-3.14,0,0,,
63761,0,0,-1.14,9.81,-3,0,0,,
63908,0,0,-1.7,9.84,-2.22,0,0,,
64059,0,0,-0.78,9.67,-3.23,0,0,,
64185,0,0,-0.95,9.96,-2.87,0,0,,
64322,0,0,-0.86,9.98,-3.64,0,0,,
64473,0,0,-1.16,10.03,-2.96,0,0,,
64654,0,0,-0.91,9.73,-3.1,0,0,,
64780,0,0,-1.22,9.73,-3.14,0,0,,
64926,0,0,-0.76,9.88,-3.02,0,0,,
65077,0,0,-0.8,9.84,-3.16,0,0,,
65203,0,0,-1.03,9.71,-3.27,0,0,,
65339,0,0,-1.01,9.65,-3.02,0,0,,
65490,0,0,-1.07,9.82,-2.87,0,0,,
65670,0,0,-1.14,9.92,-3,0,0,,
65796,0,0,-1.11,9.98,-2.6,0,0,,
65943,0,0,-1.59,10.42,-2.43,0,0,,
66069,0,0,-1.68,9.54,-1.76,0,0,,
66206,0,0,-2.5,10.02,-2.12,0,0,,
66357,0,0,-1.83,9.84,-1.89,0,0,,
66508,0,0,-1.18,10.67,-0.9,0,0,,
66689,0,0,0.13,10.23,-0.22,0,0,,
66815,0,0,1.28,10.05,-0.42,0,0,,
66961,0,0,0.97,10.11,-0.82,0,0,,
67087,0,0,1.32,10.42,-1.34,0,0,,
67224,0,0,1.74,9.82,-1.7,0,0,,
67375,0,0,2.37,9.69,-2.29,0,0,,
67526,0,0,2.31,9.23,-3.04,0,0,,
67705,0,0,2.31,10.11,-2.87,0,0,,
67833,0,0,2.98,8.92,-4.48,0,0,,
67979,0,0,2.16,9.58,-4.13,0,0,,
68105,0,0,2.39,8.89,-4.42,0,0,,
68242,0,0,1.99,8.69,-4.65,0,0,,
68393,0,0,2.1,8.62,-5.21,0,0,,
68544,0,0,0.53,9.96,-2.37,0,0,,
68723,0,0,-0.95,8.16,-5.63,0,0,,
